tripid,purpose
#32:7557,Other
#30:7649,Other
#31:7604,Leisure_Hobby
#33:7564,Leisure_Hobby
#33:7558,Everyday_Shopping
#30:7672,Work
#30:7652,Home
#30:7652,Work
#32:7556,Home
#30:7831,Home
#31:7669,Home
#31:7645,Home
#31:7645,Home
#31:7645,Home
#30:7645,Work
#31:7619,Work
#33:7586,Home
#33:7575,Work
#33:7575,Leisure_Hobby
#33:8056,Business_Trip
#30:7692,Home
#30:7661,Home
#30:7673,Work
#32:7561,Home
#32:7561,Work
#31:7899,Everyday_Shopping
#31:7615,Home
#31:7624,Work
#31:7662,Home
#31:7662,Everyday_Shopping
#31:7617,Home
#31:7617,Pick_Up_Drop_Off
#31:7617,Work
#31:7647,Home
#32:7600,Work
#32:7600,Home
#32:7600,Work
#30:7667,Leisure_Hobby
#33:7533,Home
#33:7543,Home
#31:7670,Home
#33:7578,Leisure_Hobby
#30:7657,Everyday_Shopping
#33:8128,Home
#32:7620,Home
#32:7620,Work
#32:7592,Home
#32:7592,Personal_Tasks_Errands
#31:7627,Home
#30:7777,Everyday_Shopping
#30:7668,Work
#30:7668,Home
#33:7538,Home
#30:7671,Leisure_Hobby
#31:7633,Home
#33:7583,Pick_Up_Drop_Off
#31:7626,Home
