userid,fit,prod,enjoy
JzontyJGX4SDSdJZHggacJtbLCX2,100,0,100
KYYGUhPC3tPwY3z8rXbCMDJcY0u2,50,50,50
KaueEdIqgXSb8z33Yx5SC2iySpp1,50,0,73
KuDY0NpjM0Zn9NfL3CfFBnZ5qQ42,50,22,85
KwPJgy5O7LMzikMFJkec0VuxqYu1,100,76,82
L9aML0oZB6bFXZzYt5GOq2gGxzL2,73,0,73
LAR2vA1gNUg1985AOVuAKWBbeI63,65,80,35
LJdybFv4xlYxx5n1vgej2rglbCd2,86,50,71
LPMFWHIr5BPGb5qBA0enGZEkGdB2,50,0,50
LpOv0E0Dk6UeoDFAEmpSUt0ddex1,50,0,50
M4w01VRhkCdQ9aIunaiQ3NVs2OX2,100,20,100
M75whgBpHgMNl6PwjcVy3heOFTF2,75,0,100
Mde1WS4CUiNESDSFltzECarA1vQ2,50,32,50
N2JTGmAJqWUzKwxdFuUpozjCxrn2,69,17,80
N7D1IW5EZcUAqKdNQ78zBKDlZzD3,83,0,87
NDCd1Ia7A8dYkFBIXxbuPTDPW1B3,100,12,70
NDl2E7a5WDUOjimuhLfZCialEIC2,100,85,69
NLzPvyZ7ZqXxmxE524RdzyjjTUk1,100,0,80
NRoBcILvbBfm5XSflG4oFzRuOva2,73,74,75
O4ndkCDzBWdkusTgxrLbdpeEAx72,100,10,70
O88QbwQ6ghOcPHJ94xPjI230VcB3,61,74,40
OEwnkstQWpWQPqRpULOumAPQnRb2,100,72,20
OQeOaiBIYoYl59uJcz19IGKCnjY2,10,50,70
OT8yxxDXhwUS4M7XumdKL0FIH1D3,90,10,90
OURmBjDhgohvI2HiJC2PW6QdX2x2,90,30,70
OYLUHi5O9sR7geTVUwIekFJ9HSw1,85,0,75
Oh0dJzgKyUV6z9M4v0DRYjKWagz1,35,10,50
OsoGUJHFIAb2V66QaQ6sU7O0h7Y2,75,10,100
PEY86sJGzzeNgONi4W2XSAlJfM72,79,29,60
PWtqVS4AeETtQZRpBcStRL55vKz2,20,10,90
PrnyYoUA5meNXzo437cvMjB9XBC2,50,0,22
QCuoftfGt2boxcLUvPLscVznX5j2,81,21,85
QDRwBmFQYoc8Cpd50Q5WXArE0i63,55,29,46
QJfrOkb95iNUyzLvSigcgZYPIzZ2,100,15,60
QUj4iAujqAg8KTpY1iiadwWFm9l2,30,0,66
QVNdd4wOMHceHFOT1VCiPMLzydg1,80,80,80
Ql3mcMe5BNa3GGY501vR02YuVbN2,90,0,100
QpkNbGlMICccJ4ay0ALBn79rDaI2,70,80,50
QvM5DxGl99PFpX55hyYjqNuzwwN2,80,10,60
Qxit9E0YEgb8YTQACQjHR5pBLob2,50,25,50
Qz9674WzDMZei5Nmri9rhEK75tY2,50,50,50
R37rwsd4RERP1nEISgrSuX0rpIM2,100,0,100
R9EJzucqISO6GOi8nrRGZR0IWFa2,67,82,61
RDrvQqDMjyVmp1zwzgVL2qoS7HE3,77,0,50
RNq6etBcZzWfGU6fVOIpKiqwJYS2,79,9,78
RdHp6jz6UPctLMKJbT8kBfKXMzE3,70,0,50
RfvxTjDtp9RJZQwKXgYKvlEmigp1,80,50,50
Rr823JzeN3QbgHG0UFFstvzO8N63,80,20,70
ScbvqnrCywYbFcB3s6bMJNBf1v33,67,50,67
SoCP9e3C9IfxTeHuEDWSHKVEPUX2,62,30,66
Sq8ivNN4hcYLahw7NqgHA5vlkz62,76,78,66
SqJJxfbdZRhCaqvnrPKA87a4I9C3,100,0,100
TREOP0Np4uNFAxflGiAfYtA0ZFq1,100,17,100
TRtISVUG3bgGJuPXkcEDK462Agi2,50,50,74
TU1CXgDWEyW7zsbXNOLp6rH35kC3,70,50,50
TWq1AUbD1zfNesNCbdLWK1vMhO22,76,75,50
TtKfRLxsY2av6SFrPi3iBtsjfAi1,5,15,80
U4cr16UIUMNhGDH0MhEO9jQUjrd2,100,0,50
U5soJC7zkmbkpx0sJN993OUa8Hw2,65,50,83
UXwqBSZHLASeC8LG9eFAZsEmfHr2,100,23,60
V82Cv29jB2RBxlFtijT94iWoBkf2,50,20,50
VEvG9M7Pl2TzVrlXqWHrFCBwjxf2,70,10,90
VLuXh0AkmOcb5iFr1pxN0yf4nXB3,50,0,100
VPqZ0e3QYOhclOZlLoFwolaVzI53,75,0,0
VewVNudNwTYqRIZOjeiM5aQkWhE3,60,50,80
VrfriL1ZkscpOLpqFchBNoOBgAo1,80,0,70
W5Is7Cg8YEN3nmuyLtXQhqkNAd12,59,0,88
WPHwCEd1pLg0v8z8Bs1Nc4jnZlv1,50,7,50
WPQN343wAeSZgm31nhH9dgvv7DJ2,100,0,50
WZhUb4gkjMPb8hz9gwPmRSFgqMm2,75,0,50
WhniyFL6njSz99oFYe8zfqKORPY2,85,41,60
Wx215u4LM8OLichv8lduHlPezem1,0,0,65
WzbepTBovDdqo92Q3pCG5vzvGWF2,50,50,50
X9fMjbCDTSSg7VbMli5izr89QXH2,90,10,50
XOLI7lFu9qbkF0taCM7yxHySeTW2,80,0,59
XVBleEx5uzZuKH05XuvdxVdDcIz1,100,4,50
XcLfvynDDcMt6RbrpRJ7hdf7rjP2,80,7,85
XxKEUKIvtdgkqlMBAo9WrbPOIiB3,50,5,75
Y9OPzmqfQyW55Jl4qp8jxmkWIT92,80,10,80
YD1NWKS6MmgyvWhJhtKZvYIVc2l2,90,30,90
YJ00fYkfYrYZMRYmyQT5vQYES003,70,20,90
YJ2YFC3y3NYWmAqQy27ZYCyXkMC2,50,0,50
YQK0qoUdEhWAVPNSroe9WdZ723j2,80,0,85
Z4onBcwSTvRcWlTIjjIQZz769eL2,50,50,50
ZFSsicG3dnYJP7vNyXvWb3SVayX2,66,1,68
ZeggyiobJRRVHThmygd5uFFEHAs2,50,5,100
Zj62iyVNq2PEAWH6kVatEsZu5tv1,100,0,70
ZnYQYAwq2FOMhCFnwTiVR3YRxx52,100,0,75
ZtBMcHGGMHNsSV3PtT9GtNykNSz1,82,20,75
aIQStsJ9UzgqzodMSW0wVjg4QJA2,90,0,85
aKlmLhB5xccQxtPEv7Zeb7YbFp53,90,70,80
aQk78WtX0cM6hAKs18kXHGIb2ZW2,100,0,100
ai1WrRs5uoYWPLvnxcJwLyB1XyO2,100,0,80
ajWImTWQ7HQV9AVomCGNNv7Obzo2,100,8,84
ak21eOij1QU2LQe3EM7WAk4J9b83,50,50,50
amp9KsWigmYCH399A0AKSYQNss72,83,0,100
as89dAUqtoaQFJ06IKrUXV1siE73,5,22,75
bCMcYZYqTIdyzkv89NgoVuxActR2,50,50,50
bWbYfAUY5jVOLQL0vMl4LczXV9m1,50,50,50
btGlAB6JyIQga7VPpUfSY84CmYN2,50,50,50
btU0wMa5UAdVIzaf66s50bdPJOx2,80,50,75
c11Kb2TiTZf8IwafZ8Xtm0dfLMf2,50,15,80
cYqrU5iEiVfIEccf5pENN0DJ4ZE3,85,50,70
ct5m4ooyotNekjzOEyDsq0hCFx83,73,66,50
cwa87GPOlKSDgHKfKUqoUPYmMeq2,100,0,100
d27XyyKbaihLs8OW2eJmydDnmiD2,0,0,0
dR62UWkrijgrbK7L757rCF8dsxN2,100,0,100
dZS40fE5OFMVsohMn042EUcpF103,50,8,79
dr1HJlovFlakurj5ze4zTy2RYKo1,50,7,98
dzixUVrIRAQy3PJzTU5cfWGDI0s2,64,65,84
eI5NP6QVqbb64GxcZqY73XaiJcN2,100,0,80
eRK82ULXrZTwsAH2vjPFb5SSEO23,100,0,70
eSJBInlt3tb0lnpBjgxZsmT49QG2,75,0,75
elHCgncf0ROjO9xXZ27Rbvk5EWD2,80,27,60
epZh7WcjABf4T4UuxGoTO8YwIJ83,50,2,100
eyoVBcBeFccRoK9CdBAVXZVCEgU2,50,0,100
f0cS8NWtS3XIwsCKBNOS6UyFDxN2,79,91,80
f87VXPv4q1aZM8YW3jLVqiRt0OZ2,75,0,75
fE4uPAb5FubdX1mbM3742YxPF2D3,50,71,84
fEWNb5LIoqV911pmQ7HLq94Gswh2,62,83,81
fEYZxF8mh4eGL50XEzqLQrRz4or2,91,10,69
fGVLIoybV0hBHzoaxq1jxrfLF3m2,80,0,80
fUx94u8AWpa0tdcg9nGgAcyxWro2,75,12,75
faw5aW0UR9WMBXyblH1GeiGnmmP2,100,0,50
fd7xKdSdndaeE44IfBo3SmRI0YO2,0,10,50
fmNgUBL9YLaYQWrfumQcOx0C8R82,38,88,50
fwUXXqrurLhYujv9ejfghlrbKRM2,100,0,50
g8pPPLu3bJbCYFAct6zjxXgSL0N2,88,50,71
gUfksEsmZAdAdRx718haQxRbOSs1,65,0,65
gWBV0CekLHeMIdtz1s0dfXW6Epp2,72,33,75
gtMwF0NKAVPCRF1PpjAzQ1qhlBf1,50,0,50
gv1JLYN3DWcXKmV9TMaKvHZloKv1,80,30,69
hEVntZwFTDOTZ4zszo4odJRIZrb2,75,20,75
hG4tZ055FaUOAkoG382SKijv8uC2,75,0,100
hiPo7zjK3CeudvJltiQkjZSsD3I2,50,71,67
hk2WvrlOgsg8YLLot1bGCEVg6dJ2,95,0,100
huZ2nZwCzxeDQTa3yu0MqwHdUzG3,91,84,97
i0WBWNBEwgcZoTb4kbaPVj7XnG73,91,0,91
i6dRturrJVgBen3UlwReo1M698f1,78,76,100
i8uPEkdBbFh9zCRcDdgwwZBgm3n1,50,50,50
iDTAHdWQodXxGCoXLmzI3KtIk4h2,75,19,84
iJltsMRKWBSEPvPZOjr1menkiVl2,75,76,75
iLcM9gvoLRU6ZvgEw5LBm7ahnSC2,90,70,25
iO8CmmLFKwhlBzEh0f9Hf2w9iWr2,80,0,65
iP4w9eDyayS6ixFjuhaOY6iUlDA2,50,0,50
iabaVsrlL0QjnnEDODDkXp3ys2T2,32,70,0
igigwkvk1xfKFR1ySEPkpRTNN862,74,15,50
