userid,fit,prod,enjoy
vj0844f4iZeYZLPZf2JoJnqHSqc2,100,84,59
znQeIVvudlOOA9wEd5gUzItnwDe2,100,76,100
06XDozsT3aXtAIQihhEyKamEN2D2,50,50,50
07fEFVUGgTbype3hZJ7jt45smKp2,72,50,84
09U4X5BNRSUCBI5znKOH4O9CmDi2,85,0,75
0EzAiNkGVFfxYWWdYML32P0Lzpz2,50,28,71
0WylXhEiGNWNoM4NC2zpYKeobjr1,60,17,74
0gQlvzuAffPTOY0cu3XN7F0WuxI3,85,88,80
0hAxSKQH7JPjTk7yg8Q7HU5p7Lp1,50,90,70
0wqsrInjQUaqjYX5qS0GaJ32G0v2,50,50,50
10X8AWNJZrWoH3Psfl5IDa5cMMS2,0,0,50
1A7FduQnmuXDoXUGa1yTwtIoxrU2,86,8,60
1MO1hvrRoFZj0rmWtqGd9ozvSiq2,100,50,50
1SEcQ33uGZVBJ9Fl6mBb6r0vxOk2,0,100,0
1eokEy53ATfChwV0EMDH1yiNcDm1,23,17,50
1r2GfU6QlBeKJ4Pb8MYJpa8rxxq1,61,71,62
1tc4obkhKBgJWiyJphcJ4MLAGew1,55,24,88
1vnyhZpeqqMusPwNufy2PBFB4vw1,90,90,90
1xMquNIHGZemZcgm0HyXsYcZEOh1,14,67,64
1zBXv5TQQ5WDtwz6DhZm3i2tKb42,80,70,30
25uloeV90rPbteNzzNBkyQ1AtnG2,100,0,50
26NKeAoGAtZMhiToCQ56DTSbnjB3,80,11,50
2KWuPu5hEQQnBYISJ90wO8uRpC72,90,89,19
2L0FTEUbhBUJnFqj5nylXKO9GN62,34,70,50
2LXPgMxt6fRywdRzCplS8xAHrxb2,27,6,91
2b0t6K6ln3aUpMr3wzdeBcU48zG2,72,94,20
2dqkLVI8sKSkHE8Hgu7W6rsGzVA2,65,16,86
37UpaSc97SNZHXRhgEobB1RglzA2,60,76,66
3C7xowTDBeRYbkIzO3M9Zn63gyp2,8,79,83
3RQzPLIQ2nh34CCHNDiuNgyZ6ME3,25,70,35
3VUCJHv3xNVUnAohe81aQLKW3RS2,93,40,82
3w4R05MwxaY6fXgl2ObGLsXK7p02,14,0,0
4BD4sIH0JqeWfTo2KMVn2iGMnXi1,70,25,70
4BHXtN003QYuZdc1L91Y477CffS2,50,0,30
4DZGN2C7ZBVGyTzVw2tC6C1QSrN2,100,50,85
4GbDlzXxGhd804OQv35ZCDmTBWE2,74,80,85
4JvBkNuiytWj2A4wjqHSfdqlY1q2,60,50,70
4NglAV3LfgMX3QpNkF6qLFgBd5r1,100,100,100
4XLZrewj5BbazuN3OttBf47oAw33,89,92,72
5HHRjxpwyweTqQwPRdnOOdaPfpG3,92,76,22
5KPGcOILP4QF6OQX0X80lXrVexU2,32,50,21
5NwgSwHcP0NFXclBgr911WT95Ha2,77,65,68
5Oncy4yZQrWQpqn2Q8jifkcTBnm1,50,50,50
5QE6Wj57cIOJC4XjGv4pEGJzloU2,71,54,93
5Xf62HImKCYV7KJ1ElIu85lQt4l2,68,81,50
5dbZDFMhMtMqeid9Bi8RD4Ljq0o1,82,78,83
5fPpi4d0FdgpT1y9Paxy41hT2pc2,50,50,50
5hRlrTE7oAh0PaynCeiAA0kj5dv1,50,26,64
6JhGGSzrqINjQJuVntzyDhLJlxI2,0,100,50
6gNRkLxSboZuTCD6a7mDwrnORWz1,100,0,50
6mxEO7kuyGTGVPPh2Q64fBWZxWa2,50,50,50
6xxxgQWuFtYOgCeNSyGoEyGxAQg1,50,50,50
6yGtiQKQwmUgl7TSp3IIHOsMMVt2,100,56,50
728vA15QbIdgbSEt6kOr2rKjCZl2,34,34,26
72ucPSmYRiVQHJHvG78KPo0KETr1,90,50,80
7GZPG96lXvU9AqDv5m3PkPitJhm2,50,50,50
7HWR2HU35vMPbWgcFRy5p9mauI53,36,19,82
7NAUV7lpKyZlcwCa111NZNbkxBc2,34,85,69
7irbbycK9ubsIA6HoimRUojJPQT2,71,10,65
827nixO5n0YAxkMOFB70LfWQ5Qq2,0,0,100
86p6kCl8OscQovUFhacqTLVohUt1,63,34,50
8XmSk6ZfFNTlqAtiaPwJaTNCgCc2,86,57,81
8i6cXcYxyPeX55J6fd3MtnDAK5E3,50,50,50
8kgP73vQvZYOou3bGMva0Sp4LGG3,17,100,67
92Xad4bCBZYef0PbJV5xDNhlLJu1,66,78,88
92kuJncmvpXdmvEiU1a5q6U317o1,50,25,50
9CMRKNqsn9X6zzBgVD57yOvzGt53,50,50,50
9JsLHlvY5pXygKy5zJjlX3329Fb2,50,65,77
9Ne8HejoGXWrmUL8E3a6Kmwafcp1,30,100,100
9YWyQ3Gbi8aAf3yBhcvvxgjZ7K82,100,50,100
9ZqD0VdPu5MEhHu2uC3kWDFwXeh1,50,60,60
9cOsTcbpXmZrodgWoMADAlqxwD22,78,64,100
9dokuaC92lUjeEOIGbdG703MIwG3,100,50,70
9m1n3vlFH9TBdzuw33Ntx0zAWBm2,50,38,70
9qdvqkR7uiczd8zboiVFbiRGWMr2,40,50,50
AOfjj2DsPaReacAP4GlKTAvSCmR2,38,90,70
ASSE25HRVVUHBTayU4DjeCZllAZ2,50,10,75
ATKmwGRaI4UPjWsT0puIHDwVdtf1,75,67,45
AVhUy0w31XNKBjxMIY4mwrbLBF73,80,13,70
Abq3vPekL4WtRqzSZFDMYmr3EY23,70,50,100
Axoj74yHhdhNNTbh8L3bYOonUcS2,77,22,100
AzlUlhoqYdXm3Mkhac6r6NU7ikD3,50,50,84
BYwPAca8WHMFut6K4KVD40bOkUe2,66,70,50
BmUTBulDqZUeD7Ho9nNzC4jfyjw1,36,66,93
BmyTr7OPS5ZahkNGRZa8PqB4Xq03,70,85,85
BzUFyzxlE4UKZP4jvJvwKAKqozm1,89,24,20
BztmsicXqicWV09YSksDgvVa9bE2,50,50,50
C7zDumQ9d4PaWe8XJZMLPGf2ugI3,100,76,79
CFRmks3IRFNnDd3iat8vGg6DwaJ3,50,79,30
COPeNCqzxgRHkOtyhmxmGUTof3d2,100,79,70
CmzHT6OrfCfUByTddPNWbix6I0m2,80,50,20
D58qVAgZTRbIEpCUIu2RogfrOcY2,100,50,50
DF59V8HZqEZtik3L3SaLkTKSvez2,100,50,90
DYd0PfAj5bcp3xkn3IImCltTPt23,50,17,67
DZ4wV9JGFaegF0tPFuQo6sjtUDn2,100,50,50
DgeNos0hWVhyOWAGaKhTy2BhBfn1,86,50,81
Dnx61XYT3sheB4vi3k0W7gN8RWn2,69,0,79
DpDTmfNzfoYjnxmHugJMhQDWuLH3,90,80,90
DrJkMCFfnzfH2YhKN8dcqwfpiP92,73,85,72
E2WgxmsRIGOB1JFxbDdGSBkh1Bz1,100,23,80
EC1sb2ZLSLaylCz72RqvRYVeJjp1,50,50,50
ERf90saQCjYbfQQEM05MrlSZiTi1,50,6,90
En6xdSzSRQbSHcS1GGTgRloQrgs2,50,50,50
EtEdeL9ybndfLesrbL54246GftL2,15,20,80
F9QbClnMmQYHjsp3Kd6fbmK5Dxs1,11,41,64
F9heTkv33WgJHw3n81NHt0x8BDy2,64,50,75
FRopxr3ynJWLTgg5oYoZdC2eHOH3,80,80,80
FSY2fMvz8saZHcXJMfnmnXy9Fhr1,50,76,85
FebKil5rlfV3efrqcsn4GTyy2tc2,50,50,75
G1RpruzvWBUDuRGwYrF9X0N2xUX2,62,50,89
GFAErGDq0DgxIUKqJhf6jeNT2km1,50,50,50
GHHUEG8j3rTAQRH1WCTtFw8ITMS2,0,81,78
GLvthWLk4md6NPeSPurTBQI4tS62,25,40,90
GP1XTHXQH8VXVEKk1E1wUBW7n022,0,0,100
GkrGeZwTsPdPUf2AIm4VrJKhmQW2,81,23,77
GpQUPCG9q1XobL8WrBwnJHaw8KK2,69,0,59
Gz46YFMEHSOSKCmoxmhcpf1EwmU2,50,84,94
GzO3cb3Z9GZ1tlGwACQCwGXOx533,56,81,72
H2WvrjMlgiWET0uJdsKLbObHoZq1,81,62,74
H45OMNxsulSkdKhIkhUAwYbZlpC2,75,84,65
H7W5ybItMyQDmTUNTz9IUfCCubj1,100,4,70
HDqyFE0OzHc9sXYE9o8KfH5PwKy1,60,80,90
HEiIRJMc5Sd3ml8QIkn9rqjk72z2,75,10,90
HSpd7lH3D0Z3gUpRpy2nLMdCRpl2,19,50,79
HVWF3EuUDASJnOHmQKTtjrPLAJB2,50,50,50
HXlwiFac4DTTV6U2iiWgNBm4DeI2,92,50,80
Hmll4aGV1DTbHC7bjHcaqn40nb22,100,70,40
HoMZjbD4MvgOlZiQ8SeOSHQkjbJ2,50,50,50
Hz482SmMRwRcdcuNbkQ1bvFfZ4s2,0,31,41
IMLjNk8MhHMQo8c5awCbYd5rpc32,50,50,50
IcTZ4ELjXXR26bAFoeVjfMCl1iL2,78,70,80
Igf36pvbL3XkkBrFsvBpGFMrf7Q2,16,4,100
IjiT1bGD2qSIUb1ibc5bXkMqzLE3,0,50,75
JOwQWuxZfqTbLxnqUs67OwrieUM2,80,80,80
JTs81uap4LXXmTGTLE1zowSOgNY2,100,3,40
JZiVSkFK0Vffod121xWuxG1KxZ82,81,76,77
JndCuoB669VPr878cRpEhFuZTEm2,0,50,90
JuVOVnELXghHjCUESfdj1Umrpbr1,100,90,90
JxFKCSlcH3NIGKGDYLXJt5oXfed2,75,50,100
K80w8hDSY6VJ2WsG8XLXGKeECvu1,0,70,0
KASED8eYqZXS1OIcxdwf3uHvLuk1,100,50,74
KRUGpO4n3gbkM9xw1LRJESdJgg92,80,20,100
L51QP5dvPtds3gJoJ9syz3T6Vdj1,30,10,50
LGsVXOTHJKQbd50uGQaFey3Kscb2,63,73,79
LJDaiuNVC6V59zmU2wOV0RMEYqp2,0,70,85
LLgdpeQjgAMlPVyZYxYpQsGNfSu2,72,76,32
LMNBBZxGDUPNlEEzRf5Uv54KJLu2,71,50,86
LNYeTistAgQNNDprtapjkLr8q002,50,50,50
LTiO0o4CGadHxOh1y8bvfukhoGw2,74,11,50
LlPwLpbTM2YAgzdAeKN01ZRHScq2,40,50,60
LqHaCu9MlJTiMJuHVrm2o7XrnGr2,29,74,75
M4Hw8pDcZZhpM9mpjzae6E3CdJH3,80,30,76
MKJorfXu9NQ56wyoe4kltLCFLa42,77,50,50
MRMVSM0I3rNWKMt9IYcR7ut7I5t1,50,88,84
MdUmDtJc7kSamc0OYBfm92dOdKx1,50,50,50
MkaS95x3h7Ud3KjvEMIjDFlrlfV2,100,10,80
MqsAxEaOHnXXtBnBBg86xlFp2sx1,88,22,72
MwWHPul6rZgPFR5lIH82Hk5eiis2,36,49,75
N1aGCmr637ZHeBCHJOrwLODmaNp1,100,78,26
N5u5MJsfl3SKspYHv7PdzBtQAFB2,75,20,85
NF7G5qd9M1bAZjCf46uodCi7EDl2,31,0,72
NJ5a3IT47lRZjYBCeVtxtFnzdLE3,95,80,42
NMOj41rz9YXtmMO4kEeNteJX6lJ3,51,100,100
NOcZClEshfNtAnnG4s7PfWjmsDR2,50,0,50
NcPOg6WhidZb4mai7MVdDHnw4jc2,50,50,50
NjHEts9QZSgZTabe9GhmNFq56Ya2,70,84,70
O11rdzGXbYYjVXaBFd7vrKJTKMp1,91,62,57
O5wd4NlDYdUfsYmbUfBoYCiFqa22,50,50,50
OZJmlDamvnV0PuRfs4P6K15bNV33,50,50,50
OdaR2yLVv9RdGdsZOJJXvw7zLzJ2,50,50,0
OicGxw2NJtPDcEM3dWgxaT1rMf72,50,77,67
Or1w8Midy9Z0hGI774YmWYdZTnA3,100,22,90
OyYeuKtQfbfoGCrtzXoDHflerQE2,89,76,80
P1phtJGG1PWmEgtEiYDloVRm1Z92,0,83,75
P508pqz7X2V8lXPmguQEWK6gyGt2,67,39,82
PB2Fwxhl2nVJO613l1QEXbdjLLF3,50,50,50
PDIfI6WoTkhTvGRRu1KoBeV0d5a2,100,0,73
PEEqsSgd5Whf6sJGFBrLbXvTsMk1,80,60,50
PFPPKeNppFWwZFvv5oiK6iXC15w1,66,61,70
PQqDSatHinVeK0IVYFdiMEI1jHG3,100,100,100
PZ5yQVZKxOVOnk6wuUVKn6BXkn33,29,5,67
PzWCDVqPQNNurDPIh4GsTlOxSCk1,71,68,64
QEECPODiV4SHW9PTuUMHzQs1hpK2,50,60,90
QNhptPRNMacs9CUbGgGMxxvdQ8Q2,0,0,100
QZB7LaQKWRahrOLr9GVefKbmb0r2,50,79,50
Qj7oO5km3ZgrPIDlixlaOYg12Uv2,19,100,70
QmN2jEkKQMawFjR06r0DYTmvlS53,80,78,76
RNktPEGyHkPm8J41eFuXd4jj1tm2,10,69,80
RQ983FhzfxegeNQXEZ1gW1oFps13,100,22,71
RRi4vJQ8GlZnuyccVGgzoxngeo12,70,0,80
RZ5kQH7SOBPR0bbeuEVWGrB8MHy1,20,20,80
RZUSeIJXjaR0HhS61TP71EJiheC3,31,50,85
RaCFGMZOd0elOAevAW2BYSAMCtR2,88,83,82
RaP0qNH4epN1ada4BsMQt6bUUP72,76,79,29
RcWhASchPeQIcIjXRbRjXXq5suc2,88,5,100
Rdi81e4G6QdXzVUMhK3rYHHDDqI2,97,0,95
ReVezlqhGdPjI4IoPLLr0WIRCmt1,60,40,75
RrmCNxlYEwVt88pNjfeSxnMa0KB3,68,50,74
RsCBHWpjP4NkkjNs8eLkjOvuqPw2,30,71,86
SFcbB8g7hQPMwIzrJ2fFfzhLpNo1,75,29,68
SLXdC9bbtKWVJ701ozw1mfqgBBJ3,70,100,100
Sk9xxWBu7LWAZVvSEH9ZMrUzzj43,75,75,75
SmtJWchErzc2sp7xV488HGppK2n2,80,75,50
SoxetNquJHgkrq6R87n0QKjGaDG2,85,36,50
Stfvi5Ak5SfMOQHZ6egEmrAhK9G3,50,50,75
SvRLhh4zouPyASLsEaI33vSsg4m1,74,100,74
T813j0ChzrRJx6AsNKXWxjsrpIl2,65,50,100
TEv0v5OStXPT4BI6Iyri6zOiL6m2,0,100,50
TFCDsk75PQMRhXh4mOQfvPqwixs1,80,29,48
TFN955OSG0VPboup8ayxhyKoAis1,50,34,31
TRajWZICGkcwWC1wuMaZ2rA51923,90,75,70
TXaSfu6MsDUouC6z8X7qLfo61iB2,50,15,100
ThMUINMsDyVOnepkwcMUKfi8eVy1,74,28,69
TkbiFbDgfYdA6d0LeXY1WN8JTab2,83,91,29
U2Gm5uOs7Yh4OY880iVMjtVWgsj2,83,11,82
U8TFYA3VEySpF8kcV7BZUqBy5ik1,31,65,80
URDQ4CINiYYRn1GK1xl2BvOr48x2,40,30,65
USjNRNsjYTU2zghwNke86xTiHh42,80,50,90
UXx5wYWV8LRJnPXPwI5fXrFUmJ02,50,50,99
UsdTRySu7rU9BmZgu1rdRMR2SfU2,100,63,83
Uu6LhXdkHbejO0wlOw7A47q6PwB2,50,100,75
V0uVEGTbFThIMFDS9s2SUaYUmN73,50,50,50
VHgW2U3b56QilCpk9NFCKPu43AY2,90,0,80
VKWRQKl6CXR2uRQWzspFqZkRvVH3,80,0,50
VLsq9bFKuJZfgyhSpaiGXspi7AM2,70,50,100
VZFjazadMTQdNKASnkMIeTBqSHl2,50,35,75
VcIFltmVlgMXl483AHPWTP2J9lk2,50,50,50
VuDzbLSLBOZQnTU3WegzCxjIhLF3,20,70,40
W0q9BYbfmJNnav3QlBBabYkq90K2,50,50,50
W4mBhXoSa5fok0S1XumF0GnSx4p2,50,90,60
WGTpnUvNU7NH3YAsBEteXB5ERDm1,82,0,50
WJQM0HGwzoMd75OWdw9S7NyNlkn2,50,50,50
WrY14vlIg6SAeJoIhQNmHTTlOZR2,3,82,70
WsYC9p6uHyYuapQ9cpMTI9P6Qi83,25,50,100
WvfwuFPB2Kedls4Nsgj4Yloirxv2,27,24,50
Wvt5xVZj4Gfvj5xlzegZFiCC5YV2,80,100,80
XE2ZzXVGhRabqjdGJEOw2DalHGM2,97,23,70
XMPeCb5eOpR73BrDsJYNJyB8TCl2,83,57,74
XOuQOS8YAyMCT9MvVH5L0Qjofqt2,29,19,84
XSn49LE9T1hNNuaLj2yxa3DabmC3,15,40,61
XWkPRfmFZUQh6uf8hmoyRs3EvgJ2,64,0,71
XbtVRsikiPOla8BcjMhqaCEyK7s2,32,100,32
XjZ5nO7uEkVPumOm0NLcAl5J8Om1,14,21,66
XlepcrZFtxP520TFT3SYiqq5BtH3,76,95,50
XmfWP4yidwSufy5UAdiVCZcoXQ72,65,22,50
XsDsvVG4GxS3s78Os5rF3H1bpNs2,80,60,70
YBeMQajboWd8fm86IHcb20lCo7D2,10,20,80
YDmcFUWGLRWbLtzfDekeR8neevi2,65,74,69
YKTuLpVtMVUMX4bEUgxTqYuTGyG2,85,40,70
YdszQyELRFZVymrJ6fx10pov7y62,50,100,100
Yn91F2uGhcYGhozZg3Fq2k8jtz83,49,35,70
Yo3BDRNYkza4jBlhK1gRtA8R4x82,50,50,50
YtlyWxRs3tf1TaV8kTUU3AoDYGW2,82,19,85
Z8eEfNlLVZO6fjmwFPedW6IRm3K3,21,80,80
ZkMterxpIwSvcxD40bzPAviRfVr1,71,28,74
a2j21W85JJYyluOizi4JmNULPeV2,60,50,60
a31pMybqXyf66GGHgLLjWRYjpqr1,50,0,0
aBqAVDyPAJRbICneZGczOktCLP13,100,69,77
aCC3WSDrVoVtB9pdDxDhUXBvJE03,63,75,50
aHtru1IBzMUoP1tpUldcxSSuJO23,100,78,65
aKu5rXvTlRbTvH7CPAb28CWCABV2,92,90,69
accvJrCwfFcUcy4ALTSu5IAuYWq1,70,0,80
axyrA9b1xLSIZd7vfJImoUC9VwA2,50,0,50
b8LzSYNPVngEejppt2Ah0Ro6snH2,50,2,50
bHsS0YpBN1gKAb2ZRezq2M9T2JB2,0,10,50
bPH9oKL0KkclsDENo91yThonqUy1,75,81,50
bsqs7tu65BTnYsBuY6ffbjppTpr1,81,27,100
cDWV5XUW3jag0C8h5bfknPahCFd2,90,70,20
cmd9zKgldocceDL6Qr1jY3LBll92,100,0,91
csUKxU46CVRZl4i7skQJE5MrOEJ3,50,25,80
cw1OXjpJYKMCKS33skqd4RYiWIJ2,50,15,95
cyr2hfE5ewR4E9tlfHcow3N5gf72,70,70,77
d2VDHVspEUYyOZC9bLLL5Are2U73,67,94,65
d4lN567YbSaCgJJrL2mELA6rpQ23,0,70,30
d83bSVqi21cPbINRrIi8n6InCBW2,86,69,77
dJdx3SnrcjWzu38BXF6bHHBRvY32,88,90,81
dPqS0FLUSFYZ0zu23ULB3YojP7C2,56,0,100
dQEpx0Z2krYo6rczPYzCBZDAuo02,83,21,81
dYmYS8lZkWSSVS4BXpYRH8dIySk2,18,57,58
deArg6gv8yelsJhwEIUzwfiniJI3,100,1,85
dfZHxq6HSBb7GHyNTbVEy3R3ZK42,100,100,0
dkrNFRSlGrXKlsn9NAmw3vykPtp1,95,77,28
dpWqNMDStAhCHYkbFgncNrV2OvC3,50,20,80
dtgbYEERfVR40ozlV4lsQ4txQiG2,80,20,100
dvj6kd66OoeTWH50oVz7X6giPo53,31,87,84
e8xIo98tgDb2pn3kd9BSU0nLrfp2,100,0,50
eB9ywr65LEP1iSmZtK1F3oL3ljn1,66,50,50
eDZprg9h6mRpH1unafFgyF2VAPr2,72,14,83
eKFDzgj08bWKG1rPrG6prPJ3ztN2,25,50,69
eKQEEQExhGNtIQWgZS3KteT2nFG2,100,70,95
eKydOllbB3gCkiKEabDl8Us5WSy1,60,25,70
eVVTuqT7JBdQ9RjUy2IHkEJzrRw2,76,78,73
egSUNfRs8PUuY8AP5DZjpplR6fi1,22,75,72
esR9vbbAm0Q5NVZFJyWXInv0GJz2,68,80,70
etQIUVkoo3ZnYBgsV6KOxbD8Ful2,62,47,50
f1R7ld53TncGgT7m4HiwismS71l2,99,50,100
f3gifAKPrqaWTn893wDQgI9a1QB2,79,32,74
f8y7uIWQaEeVBMUdxvxNptKYmSu1,36,18,26
fgGlYondQVVfxqlXEHySE05f2U12,50,65,100
fi8dllfGhmYjn2eFFrKGJudxYVu2,87,15,70
fnFXePUCBYVXS1g6jVrHPdhPOhg2,50,25,25
fuJxOw0F02SZpfstDCjoBUT0vvm1,0,70,70
g2I8jHwdNsQqdBmq34zCXsnGqRZ2,50,75,20
gJZwFzLXbINE2p6M6DC6VHwwTYa2,50,81,62
gNkIz93QwVhWrQqG5U7CksidrTH3,3,6,78
gStimu9xa0WtQaGjSe5o6cDONG62,0,0,0
gYoxkL4F2KSEYc975vWt2ljdBxf1,50,10,80
gaFPwRL0rLbtyyIchOCj1pgNFxV2,71,50,50
ggw2dEAJvbfgWyxPKcTthKHsPHl1,50,50,50
gtMCooTlUyfqdGZzjRuMrd8CuxN2,39,81,30
gtObj0pHTDQPFOIyvkwnV0IVNxJ3,50,6,98
h4z5pjiJBjhkkFs4kaU3dcOZFaz2,100,85,16
hF0drxw5c5bFBt0XqdCoiK0VINz1,50,50,50
hIuA3QH9ahgVvJX5r682BrI5vAv1,90,0,50
hKMTc3W3JCddZjaEQnvb4DSxBvt1,50,50,50
hMr4fp1P4eXyUeY51VlhQzXxOwf2,50,91,90
hNH27RFG2XNQ27BgqAYpa2Oycv93,20,60,70
hPdXZzj2niP9bIWWGM8e7jyjbXk2,30,30,62
i1jcNxoD28cOC3hq2K7MdPbt8UC3,50,50,50
i9lHaQ9bKJPOW6glTapipng8M1e2,0,0,50
iC7xPS7eChdvVXkH5wY0NQtAE4A3,81,57,69
iGbqZ1eKynVukcSFTdi822G17bW2,84,81,70
iIUiaGF8gUUe2Q04pTWfidT1QN83,0,0,100
idAgMJRcE7UpcmF9eAo92tybZNE3,80,10,60
itH088IsUHZ3oa5ZBXMTvyrVPU62,57,50,74
j3y5HaHQH8ebJxJWfO4OwqGvRfG3,28,20,72
j7YY6pnziwWpLVry0mLxigvZQ123,50,74,75
jCFDUaNyAbUzZ3ZbWkZC68CWF2a2,74,75,82
jd05ThNm20eG4MC9JO7WSMWE8833,90,0,66
jlXHy1bcLKXS3E63BFkmabblks12,100,0,76
jlgZHGl4sbR2WDytXHpjYgSH0h42,22,75,28
k7lhfd5MdsYwSo3wlZQvpzMIqKg1,100,15,23
k9Ep6pBrisPeVt2sJ1gm7EnCitC2,77,80,80
kEAmD0yfEPYuQeYVdVxD2Mpo0Z22,88,80,79
kH9tQsVziHUnnPPLC6ntWKqaFv73,81,5,40
kMMVz2XziQO0tuWC06vMrfdtavj2,50,80,65
kaDhBzJ2VHg2DHNxW6DZI3Mbmxp2,50,70,80
kb5a2X3i7VUdQT5loIoYwTYcI742,50,50,50
kisFXzuWoDMpKwTA2bmRyHs5obY2,17,64,48
kmvyWmwt5NSixbLFaMwO2kHo2203,92,28,66
kwKkF0jXL1Q9IXeyjRFmPUSPANs1,71,100,81
l5e70K73SfcOmfSK9bmGk9aSd7s2,70,50,50
lAeaUvuc8HacWK2dl249y0M47Dq2,64,25,52
lR9oIXdbZGalKrQVlZXfzCkol2B3,9,18,9
lUlAarDNQyPHP9V9Rt3B4sr71gG2,0,50,50
lZpNznxD22gVcUAegQHBcgAUJJF3,50,50,30
llxaYiINIxMKtajrl9IcRfSkm1x1,40,60,80
lmOK2gtccZUBT6uqUaZF6dxFAuw1,75,33,100
m5j5ZiPWWWWwHqyBTBQw7YqgoWU2,1,50,0
mK5Mcm3so6V7Z2pk1W2IpeRSTch1,95,15,90
mQnEew7nbafmkSQKo0EZ27sDNnw2,50,50,50
mW1hclPMEPWvf6amvbS7kI2iWhN2,70,0,80
maNwGrCdJjcJcG17z9pYNwNmeUE3,60,70,70
mgRphviOLBYb948IyzyspOurroq1,0,11,6
mj1un0VOIoUXFKgTVPINoajfeOt1,69,59,60
ms2aNBb5FyMe604ZaJLIUce0DNH2,63,50,79
mu14j69TfSam2aCbu0K8vkFJ9am2,19,100,81
mwDo3Qpd1cXhy2QHKlcJjOgI0KB3,0,90,15
nVwtHEDBcGUY3mU06EB0qamf4Lu1,77,30,60
o20WJCetKtPYDHGE3yKLOnAZZt03,70,0,30
oJgNsTYhOOS43PqSAFmXpvsomdF3,76,66,76
oig8r5zrhLbH8FCHiFgVpxeiiNI2,50,50,50
omGZVTnBqffL3DR7WiWPh8eEluq1,83,9,81
omWaezhGF1ZLIzAKYx85cHmGdLf2,80,60,90
onKnj0boTGVHyi63ey3wMm8qgZo2,63,26,100
oq8Y8J7GTqPzLSkJGV3gA0w7tWz1,50,77,50
pHcbPVBIFUhRoXzcIl5fGk5wVpX2,11,11,81
pLYCV40qZNVdHoLLPiphGeXz88H3,40,0,30
pSAFF2rWJPPo3w6M5RbTcZr6hWE3,50,18,47
pVEpK1mgbYV6flrdjIsqFG4RuV12,73,0,33
pxCzgiQ298W4gseBea8R43jdDKu2,74,65,79
pxkO4sOTzreMiZV99RBeB72L0jQ2,50,50,95
q2fKCI8F14fMcHmM9giynZ9R7ID3,16,17,23
q4QlA6mDAHcMZbqQi2NF53JATVr1,50,0,100
qH2TaqOsL8P7xlB1vJrMLhwZc4K2,65,75,85
qLf9OMDlKkQzvX4W3fW2WxpyL772,67,55,68
qNiihgUI3GdCt3TN6MEN7TNmN1v1,81,100,88
qUR1Z2ZzG3TkuH2YGHwipfxEMLa2,50,17,79
qdX3gPkUtzUO1bRWrhIywoY9WeT2,76,68,53
qkNT3ahGPBUUB2pUjO6BxXDospj2,7,31,70
qmNA5VUZrCcgWG0MhfhK6zbgspd2,76,0,100
qqHMigdkwUTvx2vN5LwFoqS9qCY2,100,97,49
qu39s0gkttTiT0lruquyaFdqufD3,60,60,80
qv1e95IidCZAsIAmDFs7Dbbx8k02,60,70,80
r72rNcCilBW6ZEm9B5jncN3vvor2,50,50,92
rEiRumX5qzdtmcmoLWevuL80nlB3,50,0,100
rGC2xXmNOQg2TaOKdUxCC20YmA93,100,78,35
rOJOD9gNGjdGmTxZnobPCZNLlNY2,88,81,89
rVk561Eq72eveXgXS6bFc1hAQOR2,50,50,50
s4jYChZetZekj2ah5WHsVYmceoI2,60,17,60
sBLrpdcGf0QBdv7YVlTLUADtdpR2,85,10,80
sEiQuDEBviN1d4kokXxXQx8MFS62,71,38,70
sKUX2eU30yew62bqPOUTjw47mjG2,100,66,68
sNgsbnD1PZSKTVBaVh08faFf6Tl1,100,70,86
sOhUhCdqyZhJjsIlYTIJcU8WH6C3,69,66,87
sYRKz6ZULkTiVyHGltGYoSe2FLt1,80,67,72
scBz3WVRgUQZLh7KQ6HNFgmX6Zz2,91,44,86
seHKkw6ip4VHCoJMH5OcLYtE6PE2,62,50,100
so27zN1wsvfdEOSutHuLqdakrTf1,90,75,100
sxDFmGSMMPhseYX0aKJYQSutGx23,50,70,90
tCqjUh4TVpSnjhQHUyzSkr82Fai1,40,10,50
tOGO1nXuM8UxTIGtC0uqsrshea13,80,20,81
tvLEqx9nuadVIR6ghN5zTLmtnsp1,82,19,84
tzl4hEJhAKgVLNYJ2xjxyLiejAn1,50,0,68
u8eBr0wrg7dtvFHrARXIaXzi7UI2,21,50,82
uFGMMrzXh8V2xj5hvK3w6x7KUTr1,50,76,61
uGEXQpjhReN2IGkOTZdZBr9PMFr1,41,55,54
uK87p7imIzRYN7tp4xTbzQ1xtxs1,83,50,51
uRXs5Vhwo9d6x4Uy3xYFfhd9aIH2,100,90,70
uSkQonIXJsg2RKOYDCnoKodeReJ2,70,50,70
uafEIVo4NNVYzNJZM6C6NF3rZTN2,80,40,80
ugTB4aPlAAS0zeZwRjJYeGponDp2,50,72,32
uhDxnSKiEFdrwakp3sYfnHwBLSA2,38,37,80
usdmU2IhrhRg4lQa5AiUzsgYR7d2,20,20,80
uv9vLD7ZcfSF4gpjb39gBVAlcOr1,83,69,73
uvkpLapjs0PgRwVe3tb66zBjIqT2,74,70,90
vD1gYATm72YSVPJELzO4HAnpnMC2,50,50,50
vjlLFQrvXwVCHs6Qjw4ACafxJir1,50,43,100
