legid,activity
#25:14746,Listening
#25:14746,Accompanying
#25:14746,Thinking
#24:14782,Eating
#24:14782,Listening
#29:4167,Eating
#29:4167,Accompanying
#24:14948,Walking
#22:15175,Cycling
#22:15175,Browsing
#25:15016,Walking
#22:15174,Walking
#22:15174,Thinking
#22:15164,Accompanying
#22:15164,Talking
#24:15109,Cycling
#23:15140,Walking
#23:15159,Talking
#23:15159,Accompanying
#24:15121,Talking
#24:15121,Accompanying
#22:15299,Accompanying
#22:15299,Listening
#22:15299,Talking
#23:15324,Talking
#23:15324,Accompanying
#24:15353,Walking
#24:15353,Accompanying
#24:15353,Talking
#23:15346,Walking
#23:15393,Walking
#23:15393,Accompanying
#23:15393,Talking
#23:15393,Eating
#25:15317,Cycling
#25:15317,Listening
#24:15352,Cycling
#24:15352,Listening
#23:15478,Accompanying
#23:15478,Talking
#25:15413,Talking
#22:15531,Walking
#22:15531,Accompanying
#22:15531,Talking
#23:15567,Other
#23:15528,ReadingPaper
#23:15528,Talking
#23:15528,Listening
#23:15615,Relaxing
#23:15615,Talking
#23:15615,Accompanying
#23:15615,Eating
#24:15556,Listening
#24:15556,Talking
#24:15556,Thinking
#22:15640,Cycling
#22:15640,Thinking
#24:15597,Walking
#24:15597,Listening
#23:15712,Walking
#23:15712,Listening
#24:15669,Walking
#24:15669,Thinking
#24:15678,Cycling
#24:15678,Listening
#23:15723,Walking
#23:15723,Thinking
#24:15825,Cycling
#24:15825,Listening
#22:15818,Cycling
#24:15726,Walking
#24:15726,Thinking
#22:15819,Cycling
#24:15775,Accompanying
#24:15775,Talking
#24:15775,Listening
#22:15852,Cycling
#22:15869,Walking
#22:15869,Talking
#22:15869,Thinking
#24:15824,Cycling
#25:15792,Cycling
#25:15792,Listening
#24:15904,Walking
#24:15904,Thinking
#24:15904,Accompanying
#24:15941,Cycling
#24:15941,Thinking
#22:16170,Walking
#22:16170,Talking
#22:16170,Accompanying
#22:16169,Cycling
#23:16049,ReadingPaper
#23:16049,Listening
#23:16049,Talking
#24:16014,Accompanying
#24:16014,Talking
#24:16029,Cycling
#24:16029,Listening
#24:16030,Cycling
#24:16030,Listening
#24:17969,Thinking
#25:16111,Accompanying
#25:16111,Talking
#25:16112,Accompanying
#25:16112,Talking
#23:16124,Cycling
#23:16124,Talking
#23:16124,Accompanying
#24:16149,Accompanying
#24:16149,Talking
#25:16190,Walking
#23:16249,Cycling
#23:16249,Thinking
#22:16275,Accompanying
#22:16275,Talking
#22:16276,Cycling
#25:17927,Eating
#25:17927,Thinking
#22:16384,Walking
#24:16283,Listening
#24:16283,Driving
#24:16283,Thinking
#22:18049,Thinking
#24:16319,Walking
#24:16319,Accompanying
#24:16319,Talking
#24:16482,Driving
#24:16482,Talking
#24:16482,Accompanying
#22:16617,Driving
#22:16617,Browsing
#22:16617,Listening
#22:16617,Thinking
#23:16589,Driving
#23:16589,Browsing
#23:16589,Listening
#23:16589,Eating
#23:16589,Thinking
#23:16661,Cycling
#23:16661,Thinking
#22:17323,Accompanying
#23:17073,Accompanying
#24:16738,Cycling
#24:16738,Thinking
#22:16903,Cycling
#22:16903,Accompanying
#24:17249,Accompanying
#24:17249,Walking
#22:16902,Accompanying
#24:17966,Accompanying
#24:17966,Talking
#25:16788,Cycling
#25:16788,Accompanying
#24:16960,Cycling
#24:16960,Accompanying
#24:17026,Accompanying
#23:17007,Cycling
#23:17007,Thinking
#22:17094,Walking
#22:17291,Cycling
#24:17310,Cycling
#24:17310,Accompanying
#24:17304,Thinking
#24:17304,Other
#22:17380,Accompanying
#22:17380,Talking
#22:17380,Thinking
#22:17491,Cycling
#23:17459,Cycling
#23:17493,Eating
#23:17493,Cycling
#24:17447,Cycling
#24:17543,Cycling
#22:17622,Accompanying
#23:17590,Cycling
#24:17544,Cycling
#25:17502,Cycling
#22:17677,Thinking
#22:17677,Listening
#22:17752,Listening
#22:17752,Thinking
#24:17964,Browsing
#22:17754,Cycling
#23:17833,Accompanying
#23:17833,Talking
#23:17833,Walking
#22:17902,Cycling
#22:17902,Accompanying
#23:18008,Thinking
#23:17870,Cycling
#23:17870,Thinking
#22:17866,Walking
#25:17767,Cycling
#22:17889,Cycling
#22:17889,Accompanying
#22:17889,Talking
#22:17901,Other
